launcher,date,payload,payload_detail,orbit,location,status
Falcon 9 Block 5,2025-03-31T19:52:00Z,Starlink Group 6-80,SpaceX launch of a batch of Starlink v2-mini satellites for their second generation high-speed low earth orbit internet satellite constellation.,Low Earth Orbit,"SLC-40, Cape Canaveral SFS, Florida, USA",Success
Falcon 9 Block 5,2025-04-01T01:46:00Z,Fram2,"Named in honor of the ship that helped explorers first reach Earth’s Arctic and Antarctic regions, the mission commander will be Chun Wang, an entrepreneur and explorer who co-founded f2pool and stakefish. The vehicle commander will be Jannicke Mikkelsen, a film director and cinematographer. The vehicle pilot will be Rabea Rogge, a robotics researcher from Berlin, currently pursuing her PhD in Norway. The final crew member will be mission specialist and medical officer Eric Philips, a professional polar adventurer and guide who has completed ski expeditions to the North and South Poles.Fram2 will launch into a 90° circular orbit from Florida, making it the first human spaceflight to fly over Earth’s polar regions from low-Earth orbit. To date, the highest inclination achieved by human spaceflight has been the Soviet Vostok 6 mission, at 65°. The Dragon capsule used for this mission will feature a cupola to allow for observations and will orbit at an altitude of 425 – 450 km.During the 3-to-5-day mission, the crew will study green fragments and mauve ribbons of continuous emissions comparable to the phenomenon known as STEVE (Strong Thermal Emission Velocity Enhancement), which has been measured at an altitude of approximately 400 - 500 km above Earth’s atmosphere, among other studies. The crew will also work with SpaceX to conduct a variety of research to better understand the effects of spaceflight on the human body, which includes capturing the first human x-ray images in space, Just-in-Time training tools, and studying the effects of spaceflight on behavioral health, all of which will help in the development of tools needed to prepare humanity for future long-duration spaceflight.",Polar Orbit,"LC-39A, Kennedy Space Center, Florida, USA",Success
Long March 2D,2025-04-01T04:00:00Z,4 x SatNet test satellites,"Officially described as """"Satellite-Internet Technology Demonstration Satellites"""". Probable 4 test satellites for the Chinese state-owned LEO communication satellite constellation SatNet, 2 by Galaxy Space and 2 by Chang Guang Satellite Technology Co.",Low Earth Orbit,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",Success
Long March 6,2025-04-03T02:12:00Z,Tianping-3A-02,Satellite to be used as calibration target for ground based orbital objects surveillance services such as atmospheric space environment study and orbital prediction model correction.,Low Earth Orbit,"LC-16, Taiyuan Satellite Launch Center, China",Success
Falcon 9 Block 5,2025-04-04T01:02:00Z,Starlink Group 11-13,SpaceX launch of a batch of Starlink v2-mini satellites for their second generation high-speed low earth orbit internet satellite constellation.,Low Earth Orbit,"SLC-4E, Vandenberg SFB, California, USA",Success
Falcon 9 Block 5,2025-04-06T03:07:00Z,Starlink Group 6-72,SpaceX launch of a batch of Starlink v2-mini satellites for their second generation high-speed low earth orbit internet satellite constellation.,Low Earth Orbit,"SLC-40, Cape Canaveral SFS, Florida, USA",Success
Falcon 9 Block 5,2025-04-07T23:06:00Z,Starlink Group 11-11,SpaceX launch of a batch of Starlink v2-mini satellites for their second generation high-speed low earth orbit internet satellite constellation.,Low Earth Orbit,"SLC-4E, Vandenberg SFB, California, USA",Success
Soyuz 2.1a,2025-04-08T05:47:00Z,Soyuz MS-27,"Soyuz MS-27 is a crewed mission to the International Space Station (ISS). The crew comprises Roscosmos cosmonauts Sergey Ryzhikov, Alexey Zubritsky, and NASA astronaut Jonathan """"Jonny"""" Kim. The trio will spend around eight months at the space station, and this will be Kim's first space station mission.",Low Earth Orbit,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Success
Long March 3B/E,2025-04-10T16:47:00Z,TJSW-17,Chinese classified satellite claimed to be for communication technology test purposes. Actual mission not known.,Geostationary Transfer Orbit,"LC-3, Xichang Satellite Launch Center, China",Success
Falcon 9 Block 5,2025-04-12T12:25:00Z,NROL-192 (USA-499 to 520),Ninth batch of satellites for a reconnaissance satellite constellation built by SpaceX and Northrop Grumman for the National Reconnaissance Office to provide imaging and other reconnaissance capabilities.,Low Earth Orbit,"SLC-4E, Vandenberg SFB, California, USA",Success
Falcon 9 Block 5,2025-04-13T00:53:00Z,Starlink Group 12-17,SpaceX launch of a batch of Starlink v2-mini satellites for their second generation high-speed low earth orbit internet satellite constellation. Includes a mix of 13 Direct to Cell and 8 normal v2-mini satellites.,Low Earth Orbit,"LC-39A, Kennedy Space Center, Florida, USA",Success
Falcon 9 Block 5,2025-04-14T04:00:00Z,Starlink Group 6-73,SpaceX launch of a batch of Starlink v2-mini satellites for their second generation high-speed low earth orbit internet satellite constellation.,Low Earth Orbit,"SLC-40, Cape Canaveral SFS, Florida, USA",Success
New Shepard,2025-04-14T13:30:00Z,NS-31,"New Shepard's eleventh crewed flight. The 6-person crew consists of Aisha Bowe, Amanda Nguyen, Gayle King, Katy Perry, Kerianne Flynn, and Lauren Sánchez.",Suborbital,"Launch Site One, West Texas, Texas, USA",Success
Minotaur IV,2025-04-16T19:33:00Z,NROL-174 (USA-521 & USA-522),Classified mission for the National Reconnoissance Office.,Low Earth Orbit,"SLC-8, Vandenberg SFB, California, USA",Success
Long March 6A,2025-04-18T22:51:00Z,Shiyan 27 01-06,"A group of 6 Chinese satellites reported to be for """"space environment probing and other related technological testing"""". Actual usage not known.",Sun-Synchronous Orbit,"LC-9A, Taiyuan Satellite Launch Center, China",Success
Falcon 9 Block 5,2025-04-20T12:29:00Z,NROL-145,Tenth batch of satellites for a reconnaissance satellite constellation built by SpaceX and Northrop Grumman for the National Reconnaissance Office to provide imaging and other reconnaissance capabilities.,Low Earth Orbit,"SLC-4E, Vandenberg SFB, California, USA",Success
Falcon 9 Block 5,2025-04-21T08:15:00Z,CRS SpX-32,SpaceX CRS-32 is a Commercial Resupply Service mission to the International Space Station. The mission is contracted by NASA and will be flown by SpaceX using a Cargo Dragon.,Low Earth Orbit,"LC-39A, Kennedy Space Center, Florida, USA",Success
Falcon 9 Block 5,2025-04-22T00:48:00Z,Bandwagon-3,"Bandwagon-3 is a dedicated rideshare mission by SpaceX. SpaceX’s SmallSat Rideshare Program provides small satellite operators with regularly scheduled, dedicated Falcon 9 rideshare missions to mid-inclination orbits for ESPA class payloads for as low as $300,000 per mission, which includes up to 50kg of payload mass.",Low Earth Orbit,"SLC-40, Cape Canaveral SFS, Florida, USA",Success
Long March 2F/G,2025-04-24T09:17:00Z,Shenzhou 20,"Shenzhou 20 (Chinese: 神舟二十号) will mark the 15th crewed Chinese spaceflight and the 20th flight of the Shenzhou program. The spacecraft will carry three Chinese astronauts on the 9th flight to the Chinese Space Station.The crew consists of Chen Dong, Chen Zhongrui and Wang Jie.",Low Earth Orbit,"Site 901 (SLS-1), Jiuquan Satellite Launch Center, China",Success
Falcon 9 Block 5,2025-04-25T01:52:00Z,Starlink Group 6-74,SpaceX launch of a batch of Starlink v2-mini satellites for their second generation high-speed low earth orbit internet satellite constellation.,Low Earth Orbit,"SLC-40, Cape Canaveral SFS, Florida, USA",Success
Long March 3B/E,2025-04-27T15:54:00Z,Tianlian-2-05,The TL 2 (Tian Lian 2) satellite is a geostationary relay satellite based on the DFH-4 Bus (three-axis-stabilized telecommunications satellite platform).TL 2 will be used to support real-time communications between orbiting satellites and ground control stations. This system will replace the current network of ground-based space tracking and telemetry stations and space tracking ships.TL 2 represents the second generation of this relay satellite network.,Geostationary Transfer Orbit,"LC-2, Xichang Satellite Launch Center, China",Success
Falcon 9 Block 5,2025-04-28T02:09:00Z,Starlink Group 12-23,SpaceX launch of a batch of Starlink v2-mini satellites for their second generation high-speed low earth orbit internet satellite constellation. Includes a mix of 13 Direct to Cell and 10 normal v2-mini satellites.,Low Earth Orbit,"SLC-40, Cape Canaveral SFS, Florida, USA",Success
Long March 5B/YZ-2,2025-04-28T20:10:00Z,SatNet LEO Group 03,A batch of Low Earth Orbit communication satellites for the Chinese state owned SatNet constellation operated by the China Satellite Network Group.The constellation will eventually consists of 13000 satellites.,Polar Orbit,"LC-101, Wenchang Space Launch Site, China",Success
Falcon 9 Block 5,2025-04-28T20:42:00Z,Starlink Group 11-9,SpaceX launch of a batch of Starlink v2-mini satellites for their second generation high-speed low earth orbit internet satellite constellation.,Low Earth Orbit,"SLC-4E, Vandenberg SFB, California, USA",Success
Atlas V 551,2025-04-28T23:01:00Z,Project Kuiper (KA-01),"Project Kuiper is a mega constellation of satellites in Low Earth Orbit that will offer broadband internet access managed by Kuiper Systems LLC, a subsidiary of Amazon. This constellation is planned to be composed of 3,236 satellites. The satellites are projected to be placed in 98 orbital planes in three orbital layers, one at 590 km, 610 km, and 630 km altitude.",Low Earth Orbit,"SLC-41, Cape Canaveral SFS, Florida, USA",Success
Falcon 9 Block 5,2025-04-29T02:34:00Z,Starlink Group 12-10,SpaceX launch of a batch of Starlink v2-mini satellites for their second generation high-speed low earth orbit internet satellite constellation. Includes a mix of 13 Direct to Cell and 10 normal v2-mini satellites.,Low Earth Orbit,"LC-39A, Kennedy Space Center, Florida, USA",Success
Vega C,2025-04-29T09:15:00Z,Biomass,"ESA’s Earth Observation Programme Board has selected Biomass in May 2013 to become the seventh Earth Explorer mission. The innovative satellite aims to map and monitor one of Earth’s most precious resources.The satellite will be designed to provide, for the first time from space, P-band radar measurements that are optimised to determine the amount of biomass and carbon stored in the world’s forests with greater accuracy than ever before.This information, which is poorly known in the tropics, is essential to our understanding of the role of forests in Earth’s carbon cycle and in climate change.Reliable knowledge of tropical forest biomass also underpins the implementation of the UN Reducing Emissions from Deforestation and forest Degradation (REDD+) initiative – an international effort to reduce carbon emissions from deforestation and land degradation in developing countries.In addition, the measurements made by Biomass offer the opportunity to map the elevation of Earth’s terrain under dense vegetation, yielding information on subsurface geology and allowing the estimation of glacier and ice-sheet velocities, critical to our understanding of ice-sheet mass loss in a warming Earth.",Sun-Synchronous Orbit,"ELV, Guiana Space Centre, French Guiana, France",Success
Alpha,2025-04-29T13:37:00Z,Message In A Booster,"First of up to 25 launches of Low Earth Orbit technology demonstration satellites to be built and operated by Lockheed Martin.Demonstration mission for Lockheed Martin LM400 satellite bus, which will carry a communications payload. The satellite bus is customizable to support different missions — including remote sensing, communications, imagery and radar — as well as orbits and launch configurations.",Low Earth Orbit,"SLC-2W, Vandenberg SFB, California, USA",Failure
Falcon 9 Block 5,2025-05-02T01:51:00Z,Starlink Group 6-75,SpaceX launch of a batch of Starlink v2-mini satellites for their second generation high-speed low earth orbit internet satellite constellation.,Low Earth Orbit,"SLC-40, Cape Canaveral SFS, Florida, USA",Success
Falcon 9 Block 5,2025-05-04T08:54:00Z,Starlink Group 6-84,SpaceX launch of a batch of Starlink v2-mini satellites for their second generation high-speed low earth orbit internet satellite constellation.,Low Earth Orbit,"LC-39A, Kennedy Space Center, Florida, USA",Success
Falcon 9 Block 5,2025-05-07T01:17:00Z,Starlink Group 6-93,SpaceX launch of a batch of Starlink v2-mini satellites for their second generation high-speed low earth orbit internet satellite constellation.,Low Earth Orbit,"SLC-40, Cape Canaveral SFS, Florida, USA",Success
Falcon 9 Block 5,2025-05-10T00:19:00Z,Starlink Group 15-3,SpaceX launch of a batch of Starlink v2-mini satellites for their second generation high-speed low earth orbit internet satellite constellation.,Low Earth Orbit,"SLC-4E, Vandenberg SFB, California, USA",Success
Falcon 9 Block 5,2025-05-10T06:28:00Z,Starlink Group 6-91,SpaceX launch of a batch of Starlink v2-mini satellites for their second generation high-speed low earth orbit internet satellite constellation.,Low Earth Orbit,"SLC-40, Cape Canaveral SFS, Florida, USA",Success
Long March 6A,2025-05-11T13:27:00Z,Yaogan 40 Group 02,"3 Chinese reconnaissance satellites of unknown purposes, officially reported as for """"Electromagnetic environment probing"""".",Polar Orbit,"LC-9A, Taiyuan Satellite Launch Center, China",Success
Long March 3C/E,2025-05-12T18:09:00Z,TJSW-19,Chinese classified satellite claimed to be for communication technology test purposes. Actual mission not known.,Geostationary Transfer Orbit,"LC-3, Xichang Satellite Launch Center, China",Success
Falcon 9 Block 5,2025-05-13T01:15:00Z,Starlink Group 15-4,SpaceX launch of a batch of Starlink v2-mini satellites for their second generation high-speed low earth orbit internet satellite constellation.,Low Earth Orbit,"SLC-4E, Vandenberg SFB, California, USA",Success
Falcon 9 Block 5,2025-05-13T05:02:00Z,Starlink Group 6-83,SpaceX launch of a batch of Starlink v2-mini satellites for their second generation high-speed low earth orbit internet satellite constellation.,Low Earth Orbit,"LC-39A, Kennedy Space Center, Florida, USA",Success
Long March 2D,2025-05-14T04:12:00Z,Space Computing Constellation,"12 satellites from ADASPACE testing in-orbit data processing capabilities for other satellites with artificial intelligence assistance, as well as inter-satellite laser link communication techniques.",Sun-Synchronous Orbit,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",Success
Falcon 9 Block 5,2025-05-14T16:38:00Z,Starlink Group 6-67,SpaceX launch of a batch of Starlink v2-mini satellites for their second generation high-speed low earth orbit internet satellite constellation.,Low Earth Orbit,"SLC-40, Cape Canaveral SFS, Florida, USA",Success
Falcon 9 Block 5,2025-05-16T13:43:00Z,Starlink Group 15-5,SpaceX launch of a batch of Starlink v2-mini satellites for their second generation high-speed low earth orbit internet satellite constellation.,Low Earth Orbit,"SLC-4E, Vandenberg SFB, California, USA",Success
ZhuQue-2E,2025-05-17T04:12:00Z,6 satellites,"6 satellites from satellite manufacturer SpaceTY, including 3 multi-spectral Earth observation satellites and 3 technology demonstration satellites for various academic institutions.* Tianyi-29* Tianyi-34* Tianyi-35* Tianyi-42* Tianyi-45* Tianyi-46",Sun-Synchronous Orbit,"Site 96, Jiuquan Satellite Launch Center, China",Success
Electron/Curie,2025-05-17T08:17:00Z,The Sea God Sees,"iQPS’s satellites are small, high-performance SAR satellites that use a lightweight, large, stowable antenna to collect high resolution images of Earth, even through clouds and adverse weather conditions. Ultimately, the iQPS constellation is planned to have 36 satellites capable of monitoring specific fixed points on Earth every 10 minutes. In addition to launching on Electron, the QPS-SAR satellite will use a Rocket Lab Motorized Lightband as its separation system for deployment to space.",Low Earth Orbit,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand",Success
PSLV-XL,2025-05-18T00:29:00Z,EOS-09,"EOS-09, also named RISAT (Radar Imaging Satellite)-1B, is a series of Indian radar imaging reconnaissance satellites built by ISRO. They provide all-weather surveillance using synthetic aperture radars (SAR).",Sun-Synchronous Orbit,"First Launch Pad, Satish Dhawan Space Centre, India",Failure
Ceres 1S,2025-05-19T07:38:00Z,Tianqi 16-18 & 20,4 small satellites for LEO Internet of Things (IoT) communication purposes.,Low Earth Orbit,"Oriental Spaceport Launch Ship (Area 1), China Coastal Waters",Success
Long March 7A,2025-05-20T11:50:00Z,ChinaSat 3B,Chinese communication geostationary satellite for unknown purposes.,Geostationary Transfer Orbit,"LC-201, Wenchang Space Launch Site, China",Success
Falcon 9 Block 5,2025-05-21T03:19:00Z,Starlink Group 12-15,SpaceX launch of a batch of Starlink v2-mini satellites for their second generation high-speed low earth orbit internet satellite constellation. Includes a mix of 13 Direct to Cell and 10 normal v2-mini satellites.,Low Earth Orbit,"SLC-40, Cape Canaveral SFS, Florida, USA",Success
Kinetica 1,2025-05-21T04:05:00Z,6 satellites,"Carried 6 satellites to Sun-synchronous orbit, including commercial Earth observation satellites Taijing-3-04 & Taijing-4-02A:* Taijing-3-04* Taijing-4-02A* Xingrui-11* Xiguang-1 02* Xingjiyuan-1* Cube-108 001",Sun-Synchronous Orbit,"Site 130, Jiuquan Satellite Launch Center, China",Success
Soyuz 2.1b/Fregat-M,2025-05-23T08:36:00Z,Cosmos 2588,Unknown classified payload for the Russian military.,Low Earth Orbit,"Site 43/4, Plesetsk Cosmodrome, Russia",Success
Falcon 9 Block 5,2025-05-23T22:32:00Z,Starlink Group 11-16,SpaceX launch of a batch of Starlink v2-mini satellites for their second generation high-speed low earth orbit internet satellite constellation.,Low Earth Orbit,"SLC-4E, Vandenberg SFB, California, USA",Success
Falcon 9 Block 5,2025-05-24T17:19:00Z,Starlink Group 12-22,SpaceX launch of a batch of Starlink v2-mini satellites for their second generation high-speed low earth orbit internet satellite constellation. Includes a mix of 13 Direct to Cell and 10 normal v2-mini satellites.,Low Earth Orbit,"SLC-40, Cape Canaveral SFS, Florida, USA",Success
Falcon 9 Block 5,2025-05-27T16:57:00Z,Starlink Group 17-1,SpaceX launch of a batch of Starlink v2-mini satellites for their second generation high-speed low earth orbit internet satellite constellation.,Sun-Synchronous Orbit,"SLC-4E, Vandenberg SFB, California, USA",Success
Starship-Super Heavy Block 2,2025-05-27T23:36:00Z,Starship Flight 9,"Starship Flight 9 will feature the first reflight of a Super Heavy vehicle, Booster 14, which previously launched Flight 7. 29 of the 33 Raptor engines on the booster are flight-proven.The Starship upper stage will attempt to reach engine cutoff, and if so, perform the first re-entry of a Block 2 Starship with upgraded flaps, among many other changes. The two previous Block 2 Starship upper stage prototypes, those launched on Flight 7 and 8, did not successfully reach engine cutoff, and this mission will attempt a repeat of the milestones desired on those flights.Ship 35 is planned to deploy 8 Starlink simulators, similar in size to next-generation Starlink satellites, into the same suborbital trajectory as the Ship itself.",Suborbital,"Orbital Launch Pad A, Starbase, Texas, USA",Partial Failure
Falcon 9 Block 5,2025-05-28T13:30:00Z,Starlink Group 10-32,SpaceX launch of a batch of Starlink v2-mini satellites for their second generation high-speed low earth orbit internet satellite constellation.,Low Earth Orbit,"LC-39A, Kennedy Space Center, Florida, USA",Success
Long March 3B/E,2025-05-28T17:31:00Z,Tianwen 2,"The Tianwen 2 near-Earth asteroid sample return mission, previously named """"Zheng He"""" after the 15th-century naval explorer and admiral, will target near-Earth asteroid 469219 Kamoʻoalewa (2016 HO3), collecting about 1000 grams of samples from its surface using both touch-and-go and anchor-and-drill approaches. The samples will be returned to Earth about 2.5 years of launch.The main spacecraft will continue its mission after delivering the samples. It will use the visit to Earth for a gravity assist to set it on a course for the main belt comet 311P/PANSTARRS, arriving around seven years later.",Heliocentric Orbit,"LC-2, Xichang Satellite Launch Center, China",Success
Long March 4B,2025-05-29T04:12:00Z,Shijian 26,"Chinese experimental satellite claimed to be for """"Earth observation & environmental management"""" purposes, details not known.",Sun-Synchronous Orbit,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",Success
Falcon 9 Block 5,2025-05-30T17:37:00Z,GPS III SV08,"GPS III (Global Positioning System) is the first evolution of the third generation of GPS satellites. The U.S. Air Force announced in May 2008 that a team led by Lockheed Martin had won the competition to build the next-generation Global Positioning System (Navstar) Space System program, known as GPS III.This program will improve position, navigation, and timing services for warfighter and civil users worldwide and provide advanced anti-jam capabilities yielding superior system security, accuracy, and reliability.When fully deployed, the GPS III constellation will feature a cross-linked command and control architecture, allowing the entire GPS constellation to be updated simultaneously from a single ground station. Additionally, a new spot beam capability for enhanced military (M-Code) coverage and increased resistance to hostile jamming will be incorporated. These enhancements will improve accuracy and ensure availability for military and civilian users worldwide.",Medium Earth Orbit,"SLC-40, Cape Canaveral SFS, Florida, USA",Success
New Shepard,2025-05-31T13:39:00Z,NS-32,"New Shepard's twelfth crewed flight. The 6-person crew consists of Aymette (Amy) Medina Jorge, Dr. Gretchen Green, Jaime Alemán, Jesse Williams, Mark Rocket, and Paul Jeris.",Suborbital,"Launch Site One, West Texas, Texas, USA",Success
Falcon 9 Block 5,2025-05-31T20:10:00Z,Starlink Group 11-18,SpaceX launch of a batch of Starlink v2-mini satellites for their second generation high-speed low earth orbit internet satellite constellation.,Low Earth Orbit,"SLC-4E, Vandenberg SFB, California, USA",Success
Electron/Curie,2025-06-02T23:57:00Z,Full Stream Ahead,"The second of five BlackSky Technology missions to deploy its new next-generation BlackSky Gen-3 satellites. The commercial constellation of Gen-3 satellites has the capability to produce images with 50-centimeter resolution and to host multiple sensors, including shortwave infrared (SWIR). The improved resolution and enhanced spectral diversity of the Gen-3 satellites will expand BlackSky's ability to provide real-time information to its customers.",Low Earth Orbit,"Rocket Lab LC-1B, Māhia Peninsula, New Zealand",Success
Falcon 9 Block 5,2025-06-03T04:43:00Z,Starlink Group 12-19,SpaceX launch of a batch of Starlink v2-mini satellites for their second generation high-speed low earth orbit internet satellite constellation. Includes a mix of 13 Direct to Cell and 10 normal v2-mini satellites.,Low Earth Orbit,"SLC-40, Cape Canaveral SFS, Florida, USA",Success
Falcon 9 Block 5,2025-06-04T23:40:00Z,Starlink Group 11-22,SpaceX launch of a batch of Starlink v2-mini satellites for their second generation high-speed low earth orbit internet satellite constellation.,Low Earth Orbit,"SLC-4E, Vandenberg SFB, California, USA",Success
Long March 6A,2025-06-05T20:45:00Z,SatNet LEO Group 04,A batch of Low Earth Orbit communication satellites for the Chinese state owned SatNet constellation operated by the China Satellite Network Group.The constellation will eventually consists of 13000 satellites.,Polar Orbit,"LC-9A, Taiyuan Satellite Launch Center, China",Success
Falcon 9 Block 5,2025-06-07T04:54:00Z,SXM-10,"SXM-10 is the 11th high-powered, digital, audio radio satellite built by Maxar (SSL) for SiriusXM. The SXM-10 satellite will be based on Maxar’s proven 1300-class platform and built at the company’s manufacturing facility in Palo Alto, California. SXM-10 has a large, mesh, unfurlable reflector almost 10 meters in diameter that allows SiriusXM programming to reach its radios, including those in moving vehicles.",Geostationary Transfer Orbit,"SLC-40, Cape Canaveral SFS, Florida, USA",Success
Falcon 9 Block 5,2025-06-08T14:20:00Z,Starlink Group 15-8,SpaceX launch of a batch of Starlink v2-mini satellites for their second generation high-speed low earth orbit internet satellite constellation.,Low Earth Orbit,"SLC-4E, Vandenberg SFB, California, USA",Success
Falcon 9 Block 5,2025-06-10T13:05:00Z,Starlink Group 12-24,SpaceX launch of a batch of Starlink v2-mini satellites for their second generation high-speed low earth orbit internet satellite constellation. Includes a mix of 13 Direct to Cell and 10 normal v2-mini satellites.,Low Earth Orbit,"SLC-40, Cape Canaveral SFS, Florida, USA",Success
Electron/Curie,2025-06-11T15:31:00Z,The Mountain God Guards,"iQPS’s satellites are small, high-performance SAR satellites that use a lightweight, large, stowable antenna to collect high resolution images of Earth, even through clouds and adverse weather conditions. Ultimately, the iQPS constellation is planned to have 36 satellites capable of monitoring specific fixed points on Earth every 10 minutes. In addition to launching on Electron, the QPS-SAR satellite will use a Rocket Lab Motorized Lightband as its separation system for deployment to space.",Low Earth Orbit,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand",Success
Falcon 9 Block 5,2025-06-13T01:54:00Z,Starlink Group 15-6,SpaceX launch of a batch of Starlink v2-mini satellites for their second generation high-speed low earth orbit internet satellite constellation.,Low Earth Orbit,"SLC-4E, Vandenberg SFB, California, USA",Success
Falcon 9 Block 5,2025-06-13T15:29:00Z,Starlink Group 12-26,SpaceX launch of a batch of Starlink v2-mini satellites for their second generation high-speed low earth orbit internet satellite constellation. Include a mix of 13 Direct to Cell and 10 normal v2-mini satellites.,Low Earth Orbit,"SLC-40, Cape Canaveral SFS, Florida, USA",Success
Long March 2D,2025-06-14T07:56:00Z,Zhangheng-1-02,"Zhangheng 1-02, also known as CSES-02 (China Seismo-Electromagnetic Satellite-02), is the follow-on mission to Zhangheng 1/CSES, a Chinese–Italian space mission dedicated to monitoring the electromagnetic field and waves, plasma parameters, and particle fluxes induced by natural sources and artificial emitters in near-Earth space, to study their correlations with the occurrence of seismic events.The satellite mission is part of a collaboration program between the CNSA (China National Space Administration) and ASI (Italian Space Agency), and developed by CEA (China Earthquake Administration) and INFN (Italian National Institute for Nuclear Physics), together with several Chinese and Italian Universities and research Institutes.",Sun-Synchronous Orbit,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",Success
Falcon 9 Block 5,2025-06-17T03:36:00Z,Starlink Group 15-9,SpaceX launch of a batch of Starlink v2-mini satellites for their second generation high-speed low earth orbit internet satellite constellation.,Low Earth Orbit,"SLC-4E, Vandenberg SFB, California, USA",Success
Falcon 9 Block 5,2025-06-18T05:55:00Z,Starlink Group 10-18,SpaceX launch of a batch of Starlink v2-mini satellites for their second generation high-speed low earth orbit internet satellite constellation.,Low Earth Orbit,"SLC-40, Cape Canaveral SFS, Florida, USA",Success
Angara A5/Briz-M,2025-06-19T03:00:00Z,Cosmos 2589,Unidentified payload for the Russian military.,Geostationary Transfer Orbit,"Site 35/1, Plesetsk Cosmodrome, Russia",Success
Long March 3B/E,2025-06-20T12:37:00Z,ChinaSat 9C,"Ku- and Ka-band geostationary communication satellite for China Satcom at 92.2° East, replacing ChinaSat 9.",Geostationary Transfer Orbit,"LC-2, Xichang Satellite Launch Center, China",Success
Falcon 9 Block 5,2025-06-23T05:58:00Z,Starlink Group 10-23,SpaceX launch of a batch of Starlink v2-mini satellites for their second generation high-speed low earth orbit internet satellite constellation.,Low Earth Orbit,"SLC-40, Cape Canaveral SFS, Florida, USA",Success
Atlas V 551,2025-06-23T10:54:00Z,Project Kuiper (KA-02),"Project Kuiper is a mega constellation of satellites in Low Earth Orbit that will offer broadband internet access managed by Kuiper Systems LLC, a subsidiary of Amazon. This constellation is planned to be composed of 3,236 satellites. The satellites are projected to be placed in 98 orbital planes in three orbital layers, one at 590 km, 610 km, and 630 km altitude.",Low Earth Orbit,"SLC-41, Cape Canaveral SFS, Florida, USA",Success
Falcon 9 Block 5,2025-06-23T21:25:00Z,Transporter 14,"Transporter 14 is a dedicated rideshare mission by SpaceX. SpaceX’s SmallSat Rideshare Program provides small satellite operators with regularly scheduled, dedicated Falcon 9 rideshare missions to SSO for ESPA class payloads for as low as $300,000 per mission, which includes up to 50kg of payload mass.",Sun-Synchronous Orbit,"SLC-4E, Vandenberg SFB, California, USA",Success
Falcon 9 Block 5,2025-06-25T06:31:00Z,Axiom Mission 4 (Ax-4),"Ax-4 is Axiom Space's fourth private crew rotation to the International Space Station aboard a SpaceX Crew Dragon spacecraft. The crew will be composed of commander Peggy Whitson (former NASA astronaut), Shubhanshu Shukla of India, Sławosz Uznański of Poland, and Tibor Kapu of Hungary. This will be India and Poland's first crewed trip to the ISS.",Low Earth Orbit,"LC-39A, Kennedy Space Center, Florida, USA",Success
Falcon 9 Block 5,2025-06-25T19:54:00Z,Starlink Group 10-16,SpaceX launch of a batch of Starlink v2-mini satellites for their second generation high-speed low earth orbit internet satellite constellation.,Low Earth Orbit,"SLC-40, Cape Canaveral SFS, Florida, USA",Success
Electron/Curie,2025-06-26T17:28:00Z,Get The Hawk Outta Here,"HawkEye 360 is a radio frequency geospatial analytics provider.Their constellation, comprised of 15 satellites in 5 shells, aims to deliver precise mapping of radio frequency emissions anywhere in the world.Demonstration mission of HawkEye 360's new spacecraft design, known as Block 3 Lite. Kestrel-0A primarily differs from HawkEye's previous satellites in that it has an 8U cubesat form factor and will have an Iridium satellite transceiver for communications between the satellite and the ground network via the Iridium constellation.",Low Earth Orbit,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand",Success
Falcon 9 Block 5,2025-06-28T04:26:00Z,Starlink Group 10-34,SpaceX launch of a batch of Starlink v2-mini satellites for their second generation high-speed low earth orbit internet satellite constellation.,Low Earth Orbit,"SLC-40, Cape Canaveral SFS, Florida, USA",Success
Electron/Curie,2025-06-28T07:08:00Z,Symphony In The Stars,"'Symphony In The Stars' is the first of two dedicated missions on Electron to deploy a single spacecraft to a 650km circular Earth orbit for a confidential commercial customer.A possible identity of the payload (based on the mission patch, mission name and the orbit altitude) is it being a EchoStar Lyra Block 1 S-band IoT (Internet-of-Things) communication satellite, of which 4 are planned.",Sun-Synchronous Orbit,"Rocket Lab LC-1B, Māhia Peninsula, New Zealand",Success
